IRI	Direct	Inherited
http://purl.obolibrary.org/obo/HP_0000632	1	1
http://purl.obolibrary.org/obo/HP_0000639	1	0
http://purl.obolibrary.org/obo/HP_0000649	0	0
http://purl.obolibrary.org/obo/HP_0000651	1	0
http://purl.obolibrary.org/obo/HP_0000664	0	0
http://purl.obolibrary.org/obo/HP_0000666	0	0
http://purl.obolibrary.org/obo/HP_0000678	1	0
http://purl.obolibrary.org/obo/HP_0000680	0	0
http://purl.obolibrary.org/obo/HP_0000682	0	0
http://purl.obolibrary.org/obo/HP_0000689	2	0
http://purl.obolibrary.org/obo/HP_0000690	0	0
http://purl.obolibrary.org/obo/HP_0000699	0	0
http://purl.obolibrary.org/obo/HP_0000707	0	129
http://purl.obolibrary.org/obo/HP_0000708	5	51
http://purl.obolibrary.org/obo/HP_0000712	8	0
http://purl.obolibrary.org/obo/HP_0000713	0	0
http://purl.obolibrary.org/obo/HP_0000720	0	0
http://purl.obolibrary.org/obo/HP_0000725	0	0
http://purl.obolibrary.org/obo/HP_0000726	7	0
http://purl.obolibrary.org/obo/HP_0000732	0	0
http://purl.obolibrary.org/obo/HP_0000733	0	0
http://purl.obolibrary.org/obo/HP_0000735	0	0
http://purl.obolibrary.org/obo/HP_0000736	0	0
http://purl.obolibrary.org/obo/HP_0000737	14	0
http://purl.obolibrary.org/obo/HP_0000738	0	0
http://purl.obolibrary.org/obo/HP_0000746	0	0
http://purl.obolibrary.org/obo/HP_0000750	0	1
http://purl.obolibrary.org/obo/HP_0000751	0	0
http://purl.obolibrary.org/obo/HP_0000753	0	0
http://purl.obolibrary.org/obo/HP_0000758	0	0
http://purl.obolibrary.org/obo/HP_0000762	0	0
http://purl.obolibrary.org/obo/HP_0000763	0	0
http://purl.obolibrary.org/obo/HP_0000765	0	0
http://purl.obolibrary.org/obo/HP_0000766	0	0
http://purl.obolibrary.org/obo/HP_0000767	0	0
http://purl.obolibrary.org/obo/HP_0000768	0	0
http://purl.obolibrary.org/obo/HP_0000769	0	3
http://purl.obolibrary.org/obo/HP_0000771	0	0
http://purl.obolibrary.org/obo/HP_0000774	0	0
http://purl.obolibrary.org/obo/HP_0000775	0	0
http://purl.obolibrary.org/obo/HP_0000786	0	0
http://purl.obolibrary.org/obo/HP_0000790	3	0
http://purl.obolibrary.org/obo/HP_0000800	0	0
http://purl.obolibrary.org/obo/HP_0000802	1	0
http://purl.obolibrary.org/obo/HP_0000803	0	0
http://purl.obolibrary.org/obo/HP_0000815	0	0
http://purl.obolibrary.org/obo/HP_0000817	0	0
http://purl.obolibrary.org/obo/HP_0000818	0	2
http://purl.obolibrary.org/obo/HP_0000820	0	0
http://purl.obolibrary.org/obo/HP_0000823	1	0
http://purl.obolibrary.org/obo/HP_0000824	0	0
http://purl.obolibrary.org/obo/HP_0000833	0	0
http://purl.obolibrary.org/obo/HP_0000834	0	0
http://purl.obolibrary.org/obo/HP_0000842	0	0
http://purl.obolibrary.org/obo/HP_0000857	0	0
http://purl.obolibrary.org/obo/HP_0000863	0	0
http://purl.obolibrary.org/obo/HP_0000876	1	0
http://purl.obolibrary.org/obo/HP_0000892	0	0
http://purl.obolibrary.org/obo/HP_0000902	0	0
http://purl.obolibrary.org/obo/HP_0000921	0	0
http://purl.obolibrary.org/obo/HP_0000924	0	57
http://purl.obolibrary.org/obo/HP_0000925	0	22
http://purl.obolibrary.org/obo/HP_0000929	0	4
http://purl.obolibrary.org/obo/HP_0000932	0	0
http://purl.obolibrary.org/obo/HP_0000934	1	0
http://purl.obolibrary.org/obo/HP_0000938	0	0
http://purl.obolibrary.org/obo/HP_0000951	0	24
http://purl.obolibrary.org/obo/HP_0000952	1	0
http://purl.obolibrary.org/obo/HP_0000954	0	0
http://purl.obolibrary.org/obo/HP_0000957	0	0
http://purl.obolibrary.org/obo/HP_0000958	1	0
http://purl.obolibrary.org/obo/HP_0000960	0	0
http://purl.obolibrary.org/obo/HP_0000964	1	0
http://purl.obolibrary.org/obo/HP_0000974	0	0
http://purl.obolibrary.org/obo/HP_0000975	2	0
http://purl.obolibrary.org/obo/HP_0000978	0	0
http://purl.obolibrary.org/obo/HP_0000979	1	0
http://purl.obolibrary.org/obo/HP_0000980	0	0
http://purl.obolibrary.org/obo/HP_0000989	1	0
http://purl.obolibrary.org/obo/HP_0000997	0	0
http://purl.obolibrary.org/obo/HP_0000999	1	1
http://purl.obolibrary.org/obo/HP_0001007	2	0
http://purl.obolibrary.org/obo/HP_0001010	0	0
http://purl.obolibrary.org/obo/HP_0001026	0	0
http://purl.obolibrary.org/obo/HP_0001030	0	0
http://purl.obolibrary.org/obo/HP_0001065	1	0
http://purl.obolibrary.org/obo/HP_0001071	0	0
http://purl.obolibrary.org/obo/HP_0001072	0	2
http://purl.obolibrary.org/obo/HP_0001075	0	0
http://purl.obolibrary.org/obo/HP_0001082	2	0
http://purl.obolibrary.org/obo/HP_0001094	4	0
http://purl.obolibrary.org/obo/HP_0001100	0	0
http://purl.obolibrary.org/obo/HP_0001103	0	1
http://purl.obolibrary.org/obo/HP_0001105	0	0
http://purl.obolibrary.org/obo/HP_0001106	0	0
http://purl.obolibrary.org/obo/HP_0001123	1	0
http://purl.obolibrary.org/obo/HP_0001128	1	0
http://purl.obolibrary.org/obo/HP_0001132	1	0
http://purl.obolibrary.org/obo/HP_0001162	0	0
http://purl.obolibrary.org/obo/HP_0001167	0	0
http://purl.obolibrary.org/obo/HP_0001172	0	0
http://purl.obolibrary.org/obo/HP_0001176	0	0
http://purl.obolibrary.org/obo/HP_0001182	0	0
http://purl.obolibrary.org/obo/HP_0001195	0	0
http://purl.obolibrary.org/obo/HP_0001197	0	9
http://purl.obolibrary.org/obo/HP_0001233	0	0
http://purl.obolibrary.org/obo/HP_0001249	4	2
http://purl.obolibrary.org/obo/HP_0001250	2	0
http://purl.obolibrary.org/obo/HP_0001251	0	1
http://purl.obolibrary.org/obo/HP_0001252	0	0
http://purl.obolibrary.org/obo/HP_0001256	1	0
http://purl.obolibrary.org/obo/HP_0001257	0	0
http://purl.obolibrary.org/obo/HP_0001258	0	0
http://purl.obolibrary.org/obo/HP_0001259	0	0
http://purl.obolibrary.org/obo/HP_0001260	0	0
http://purl.obolibrary.org/obo/HP_0001263	0	0
